id,title,content,sourcePage
page-5,Meditation to unlock the joy!,"Meditation to unlock the joy!
Reaching Me in Me, aka “Surrounding Yourself with Protection” (Chii-a* Kriya)

> The all-camp meditation for Winter Solstice 2026 is coming soon. Until it is announced, enjoy this Solstice meditation.

Center yourself with 3 deep inhales and exhales.

Posture: Sit in Easy Pose.
Mantra: Har Haray Haree, Wahe Guru.
Meaning of the Mantra: This is a Shakti mantra plus a Bhakti mantra. It expresses the three qualities of the word Har, the Creative Infinity: seed, flow, completion unto the Infinite. This mantra can bring you through any block in life.
Breath: Will come naturally as you chant.
Mudra: Gyan mudra (touch the thumb tip to the tip of the Jupiter (index) finger. The other fingers are relaxed. With your hands in this mudra move your arms in the sequence below.**
Eye Focus: Close the eyelids. Look above your nose between the eyebrows.

1. Chant Har as you stretch your arms out to the sides with the palms facing forward. Keep your elbows straight.
2. Chant Haray without bringing your hands near your shoulders, move your hands directly in front of you with your palms down, elbows by your sides and your forearms pointing straight out in front of your body.
3. Chant Haree as you bring your hands up to your shoulders, palms facing out.
4. Chant Wah, using the same arm position as in step 1, with the arms out to the sides, palms facing forward.
5. Chant Hay, moving your hands directly in front of you with your palms down (as in step 2), elbows by your sides and your forearms pointing straight out in front of your body.
6. Chant Guru and bring the arms back up to your shoulders, palms facing out.

Time: Continue for 11 mins (or you may start with 3, 5 or 7 mins).

End: Inhale, suspend (hold) the breath 15-20 seconds, keep your arms in position #6 and squeeze your ribcage as you stretch your spine upwards. Exhale. Repeat this sequence two more times.

Comments: When nothing in your life works; if all shelter, hope and joy are gone; when your friends and enemies have left, do this meditation.

“It has six sounds, don’t take it as a mantra, these are six unchangeable sounds.
What surrounds you is six: the four directions and up and down. Meditate on these six in this way and they will cover you.
It is not an obligation; it is a directive.”

*Chii-a is the Gurmukhi word for six. In this meditation there are six unchangeable sounds which affect the six directions.
**Thank you to Serpentine Yoga for the use of their online graphics to illustrate this meditation.",
page-50,Sadhana & Gurdwara,"## Sadhana
Sadhana begins in the early hours of the morning (see the Schedule for the time) with Japji, a prayer that balances earth and ether energy while strengthening the connections between the mental and spiritual bodies. It is recited in Gurmukhi, with alternating male and female voices. Sadhana continues with a Kundalini Yoga set. The set begins by tuning in using the Adi Mantra: Ong Namo Guru Dev Namo. This mantra calls on the Universe, the Creativity of God, and the Golden Chain to prevail through us, by invoking the Teacher within. Kundalini Yoga energizes the body, strengthens and balances the glands and other bodily systems, and tunes up the nervous system in preparation for meditation. Following Kundalini Yoga, a sequence of seven meditations is practiced for a total of 62 minutes. See the Aquarian Sadhana Mantras page.
## Gurdwara
Upon conclusion of the meditations, you are welcome to join us in the Gurdwara for Gurdwara service — an experience of sacred music and prayer. The service is a joyous mixture of Kirtan (devotional singing) and traditional Sikh prayers. Everyone is welcome to join in, sing, and meditate together. See more information on the Sikh Dharma and Gurdwara pages. At the end of Gurdwara, we close our entire morning Sadhana practice with the Song of the Khalsa.",
page-51,Daily Meals & Class Rhythm,"## Daily Rhythm
Every Solstice day follows the same arc: breakfast after Sadhana and Gurdwara, Karma Yoga and Service Exchange team gatherings, morning classes, lunch, afternoon classes, dinner, and evening programs. Please consult the Schedule in this app for the times of each day.
> Details for Winter Solstice 2026 are coming soon. Meal times and dining locations will be published here.
## Karma Yoga and Service Exchange Team Gatherings
Each morning, practice the all-camp meditation and check in with your fellow team members. Your Manager confirms where your team meets.",
page-52,Evening Programs & Lights Out,"## Evening Programs
Evening programs include sacred chant concerts and gong meditations. Yogi Tea is served every night after dinner. You may also choose to visit the Bazaar, a joyful socializing space where you can connect and share in the community spirit of Solstice while perusing a wide variety of products and healing treatments inspired by our yogic lifestyle.
## Lights Out & Camp Quiet
To support the opportunity of experiencing group Sadhana in the early morning, all evening programs, including the Bazaar, end by 9:30 pm. We ask you to please wind down musical social activities at 9:30 pm, and to respect everyone's rest by being quiet in all lodging areas from 9 pm on. Total camp lights out is 10:00 pm.
¶
Sweet Dreams!",
page-8,Keep Up Quote,"“We want strength once a year to prove to our
own selves how much we love each other. We
want our gathering to be together. We want to
see each other. We want to meet each other.
We want to sing together. We want to face
each others’ difficulties. We want to help each
other. We want to love each other. We want to
understand each other. We want to practice
the mantra, Keep Up.”
Yogi Bhajan, June 18, 1973",
page-9,Stuff You Need to Know,"## Getting around
For help finding your way around, please refer to the map in this app and ask any staff member or volunteer for directions.
## Taking Care of Yourself
Days at Solstice can be a whirlwind of spiritual and physical exertion. Be selective and pace yourself; don't try to do everything. Please remember to drink plenty of water, eat your meals, and rest when you need to.
## Stay Hydrated
Long days of yoga, meditation and chanting ask a lot of the body. Keep your water bottle with you, drink regularly throughout the day, and make sure you get enough electrolytes. Signs of dehydration include headaches, paleness, dizziness, disorientation, and physical weakness. If you notice any of these signs, please go to First Aid.
## Name Badges and Wristbands
Each person receives a name badge and wristband when they check in at Registration. Please wear these at all times while on site. Camp Staff may ask you to show them.
## Weather and What to Bring
> Details for Winter Solstice 2026 are coming soon. Weather guidance for the venue will be published here.
Bring layers for early-morning Sadhana, sun protection for the day, and rain gear.",
page-aquarian-sadhana-mantras,Aquarian Sadhana Mantras,"Aquarian Sadhana Mantras
Morning Call (7 minutes)
Ek Ong Kaar Sat Naam Siri Wahe Guru
¶
One creator created this creation, truth is His name, great beyond description is His infinite wisdom. This mantra opens all the chakras. Be sure to apply the neck lock to let the Kundalini energy rise.
Waah Yantee, Kar Yantee (7 minutes)
Waah Yantee, Kar Yantee, Jag Dut Patee, Aadak, It Whaa-haa Brahmaaday, Traysha Guroo, It Wha-hey Guroo
¶
Great macroself, creative self, all which is creative through time, All that is the great one, three aspects of God: Brahma, Vishnu, Mahesh (Shiva), which is Wahe Guru.
The Mul Mantra (7 minutes)
Ek Ong Kaar, Sat Naam, Kartaa Purkh, Nirbho, Nirvair, Akaal Moorat, Ajoonee, Saibhang, Gur Prasad, Jap, Aad Such, Jugaad Such, Hai Bhee Such, Naanak Hosee Bhee Such
¶
The Creator and Creation are One. The identity is Truth. Doer of all things. Fearless, Beyond Revenge, Undying, Unborn, Self-illuminated, Guru's Grace. Meditate! True in the Beginning. True through all the ages. True even now. Nanak says: Truth shall ever be.
¶
The Mul Mantra gives the capacity to retain rulership. There are 108 elements in the universe and 108 letters in the mantra (in its original language). Emphasize the “CH” sound at the end of the word “SUCH,” but do not sustain the sound; this adds power.
Sat Siri, Siri Akal (7 minutes)
Sat Siree, Siree Akaal, Siree Akaal, Maahaa Akaal, Maahaa Akaal, Sat Naam, Akaal Moorat, Wha-hey Guroo
¶
Great Truth, Great Undying, Great Undying, Great Deathless, Great Deathless, Truth is His Name. Deathless Image of God, Great Beyond Description is His Wisdom. Great Undying, Great Deathless, Truth is His Name, Deathless Image of God, Great Beyond Description is His Wisdom.
Rakhe Rakhan Har (7 minutes)
∙ Rakhay rakhanhaar aap ubaariun
∙ Gur kee pairee paa-eh kaaj savaariun
∙ Hoaa aap dayaal manaho na visaariun
∙ Saadh janaa kai sung bhavajal taariun
∙ Saakat nindak dusht khin maa-eh bidaariun
∙ Tis saahib kee tayk Naanak manai maa-eh
∙ Jis simrat sukh ho-eh sagalay dookh jaa-eh
Oh savior Lord: take us across the world ocean. Uplifting and giving the excellence, You gave us the touch of the lotus feet of the Guru, and our Works are embellished with perfection. You have become merciful, kind, and compassionate, so our mind does not forget You. In the company of the holy, You carry us across, from misfortune, calamities, and disrepute. The Godless, slanderous enemies You finish them off in an instant. That Lord Master is my Anchor and Support. O Nanak, hold firm in your mind. Remembering Him in meditation, happiness comes, and all sorrows and pain simply vanish.
Wahe Guru Wahe Jio (22 minutes)
Wha-hey Guroo Wha-hey Guroo Wha-hey Guroo Wha-hey Jio
¶
Great Beyond Description is This Wisdom.
¶
Vir Asan is done sitting on the left heel with the right knee up, right foot flat on the ground and hands in Prayer Pose. Eyes are fixed on the tip of the nose.
Guru Ram Das Chant (5 minutes)
Guroo Guroo Wha-hey Guroo, Guroo Raam Das Guroo
¶
Calls on Guru Ram Das in praise of his spiritual guiding light and protective grace.",
page-bringing-home,Bringing Solstice Home,"You may experience a period of readjustment after Solstice. Going through renewal and growth can bring up emotional, mental and physical challenges. It helps to be conscious regarding diet and sleep habits and to keep up a regular sadhana.
¶
Also, please remember it is not necessary to go through this process by yourself. Reach out to others and share the integration experience. Here are some ideas to consider when you return home:
∙ Get together with other Kundalini Yogis to meditate, share photos, food, Yogi Tea, stories and your process.
∙ Organize a Solstice party in your community at the end of the 40 days after Solstice.
∙ Share your experience and growth with friends, family members and others.
∙ Join the 3HO Facebook page: https://www.facebook.com/3HOInternational
∙ Follow us on Instagram @3hointernational
∙ Visit www.3HO.org for inspiration, education and services:
— Newsletter and Blogs
— Monthly Numerology Forecasts
— Spiritual Name Requests
— Upcoming Events
— Yogic Recipes",
page-eco-3ho,Eco-3HO,"## Waste Management and You!
We rely on you to support Mother Earth by incorporating green consciousness into daily life. Help contribute to a greener Solstice by:
- Minimize the amount of trash that you create.
- Use the recycling and food waste containers around camp.
- Use only biodegradable soaps and shampoos.
- Do not use aerosol sprays.
## Pack It In, Pack It Out
If you brought it in, please take it with you when you leave. Did you know that Burning Man, the largest Leave No Trace event in the world, has ZERO trash cans? Let's move in the same direction.
## Compost FOOD WASTE ONLY!
Food waste receptacles are located where we eat. Please scrape food only into the receptacles — no peels or rinds, and no compostable packaging. Put non-food compostable items in the trash to break down naturally.
## Recycling and Trash
Please follow the signs on the containers: what can be recycled depends on the local recycling program. If in doubt, put it in the trash. Please take batteries with you when you leave.
> Details for Winter Solstice 2026 are coming soon. Local recycling rules and container locations will be published here.
Thank you for keeping Solstice Clean and Green!",
page-faq-accommodations,Accommodations,"## What types of accommodation are available at the event?
> Accommodation details for Winter Solstice 2026 are coming soon. The options at the venue will be described here.
You select your accommodation during registration. Availability is limited, so booking early is recommended.
## Can I reserve a specific type of accommodation in advance?
Yes. You can reserve your accommodation during registration, and reserving in advance is the best way to secure your preferred option.
## Can I choose who I share with?
If you are traveling as a group, please let Registration know so they may do their best to accommodate you. Please be aware that no particular room or space is guaranteed; everything is available on a first come, first served basis.
## Is parking available?
> Parking details for Winter Solstice 2026 are coming soon.
## Can I make changes to my accommodation after purchase?
Yes, changes can be made to your booking details by contacting registration@3ho.org.",
page-faq-cancellation,Cancellation & Refund,"## What is the refund policy if I need to cancel my ticket?
You may cancel your booking up to 15 days before the event starts and receive a partial refund. Refund or transfer requests must be submitted in writing to registration@3ho.org before that deadline, and a cancellation fee will apply. No refunds or transfers will be considered after that date. Transaction and booking fees are not refunded.
> The exact deadline and the cancellation fees for Winter Solstice 2026 are coming soon. Please see the Terms & Conditions page at 3ho.org.
## Can I transfer my ticket to someone else?
You may transfer your ticket to someone else to attend the Solstice you registered for. Transfer requests must be submitted in writing to registration@3ho.org before the cancellation deadline.
## What happens if the event is canceled due to unforeseen circumstances?
In the event of a cancellation, ticket holders will receive a full refund. Please see the Terms & Conditions page for more information.",
page-faq-general,General,"## Can I attend if I have never done Kundalini Yoga before?
Yes. Many people come to Solstice for the first time and experience Kundalini Yoga there for the very first time. You are welcome whether you are completely new or already have an established practice.
## Who can I contact if I have questions about my registration?
For registration questions, please contact registration@3ho.org.",
page-faq-payment,Payment Methods,"What payment options are available?
We accept all major credit cards, PayPal, and cash onsite.
Why do I need to pay the transaction fees?
Transaction fees allow us to keep the rest of the camp costs down.",
page-faq-tickets,Tickets & Registration,"## How do I purchase tickets for Solstice?
Tickets may only be purchased through the official 3HO website, 3ho.org.
## Are tickets available for purchase onsite?
Yes, you may also purchase tickets on site at Registration. Please note that the only way to guarantee your lodging is through online registration.
## What is included in a ticket?
There are several different ticket options available, from Full Event to Day Passes. Depending on your selection, tickets include onsite meals, access to all classes and workshops, and White Tantric Yoga®. You can choose the option that best fits your experience, whether that is a day pass for selected days or a full-event ticket for the complete program.
## Are there any discounts available for early bird tickets?
Yes! Purchasing your tickets early secures the lowest possible pricing available. The closer to the event, the more the price increases. No discounts are offered later on.
> Early Bird dates and prices for Winter Solstice 2026 are published on the ticket page at 3ho.org.
## How much discount do I receive as an IKYTA or Premium 3HO member?
Current 3HO Premium members and IKYTA members receive a special registration discount on the Adult Full Event Pass. Visit IKYTA.org if you are a KRI certified Kundalini Yoga teacher to become an IKYTA Professional Member and access your Discount Code.
> The discount amount and its conditions for Winter Solstice 2026 are coming soon.
## What should I do if I haven't received my ticket confirmation email?
Reach out to registration@3ho.org to confirm your ticket purchase.
## Are there any age restrictions for attending the event?
There is no general age restriction for attending the event. For White Tantric Yoga®, participants must be at least 9 years old and accompanied by a parent or guardian.
## What are the terms and conditions I agree to when purchasing a ticket?
When purchasing a ticket, you agree to our cancellation terms, event terms and conditions, which include entry rules, allowed items, code of conduct, and other important guidelines. These are available on the Terms & Conditions page at 3ho.org.",
page-gurdwara-detailed,Gurdwara,"All are welcome to participate in the Gurdwara! It is a powerful and beneficial spiritual practice to surrender the finite self (Ego) to the Universal Infinite Self. This relationship to the Infinite can be felt deeply by being in the presence of the Guru (that which takes you from darkness to light). Gurdwara means gateway or door to the Guru and refers to a place that houses the Siri Guru Granth Sahib, which is the embodiment of all Sikh Dharma wisdom and authority. Although it is in the form of a large book with the collected writings of the Sikh Gurus and other revered saints, for Sikhs this represents the living form of their Guru. As such it holds the place of utmost importance in every Gurdwara.
Program
The Gurdwara services are a joyous mixture of Kirtan (devotional singing) and traditional Sikh prayers. Kirtan ends with the ""Song of the Khalsa"" and the ""Anand Sahib"" (The Song of Joy). After this, we pray an Ardas, a collective prayer seeking the welfare of all humanity. Following the Ardas, the Hukamnama is read — a randomly-selected inspiring selection from the Siri Guru Granth Sahib. This random selection is considered a divine message and serves as guidance for the community.
¶
Concluding the program, Prasad (a sweet made from honey, ghee, water, and flour) is served. You are welcome to stay for as little or much of the program as you like.
¶
Gurdwara services are open to people of all backgrounds. It is a space where all individuals, regardless of their social or cultural backgrounds, feel welcome and respected.
Attending Gurdwara
It is customary to bow your head to the floor and place an offering before the Siri Guru Granth Sahib, but not required. Please remember to:
∙ Cover your head
∙ Remove your shoes
∙ Wash your hands and feet
∙ Refrain from bringing outside food
∙ Keep all shabad sheets and Nitnems off the floor
∙ Keep the bottoms of your feet away from the Siri Guru Granth Sahib
Kirtan Darbar
A Kirtan Darbar is a special gathering in the Sikh tradition that celebrates the devotional singing of hymns and praises of the Divine. During a Ransabhai, musicians and singers lead the congregation in the performance of Kirtan, the devotional singing of hymns from the Guru Granth Sahib, the central scripture of Sikhism. It is an immersive musical experience that fosters a deep connection with spirituality and creates an atmosphere of joy, devotion, and unity.
Sehaj Path
A Sehaj Path is a leisurely, continuous reading of the Siri Guru Granth Sahib, where the pace and time frame of recitation is up to the reader and sangat. Anyone can come and read from the Guru. There will be a sign up sheet in the Gurdwara for anyone who would wish to take part.
¶
The start of the sehaj path begins with an Ardas to ask for blessings for the days ahead. The Bhog will be to read the last few pages of the Siri Guru Granth Sahib, including Salok Mehla 9 and Raag Mala. This will be followed by Aarti written by Guru Nanak Dev Ji — a poetic expression that describes the entire universe as performing Aarti for the Creator, sung in celebration of the Divine and the completion of the reading.",
page-karma-yoga,Karma Yoga,"Seva is a universal value of many yoga traditions — service done for others and for the community. These tools of Kundalini Yoga and meditation are meant to bring us to Shuniya and to a transcendent experience of serving others. There are 22 forms of Yoga, and Karma Yoga is one of these paths. The practice of Karma Yoga as a Kundalini Yogi develops grace and humility so that we can be both radiant and humble.
¶
Karma Yoga is a main part of the Solstice experience, just as much as the practice of Morning Sadhana or daily Kundalini Yoga classes.
¶
Everyone you meet here serves as either Full-time staff, Service Exchange yogis who work 4–6 hours/day, or Karma Yogis who work 2 hours/day. Camp runs on the combined effort of all the people here. From chopping vegetables to cleaning toilets, your participation sets the intention and energy of manifesting a joyous and fulfilling Solstice for all. The energy of giving elevates our consciousness as we embrace the Aquarian spirit side-by-side with our fellow yogis.
Karma Yoga and Service Exchange Team Gatherings
Every Karma Yoga or Service Area Team will gather daily in the morning for an hour every day of camp. During this time you will practice a daily camp meditation, check in on a personal level about your solstice experience, and hear important information and announcements from your team leader/facilitator. Your Service Area Team is like your small circle of connection during the event. For many people their karma yoga teams are so important as a connecting circle of inclusion and sharing an experience of service together.
¶
We ask all Solstice attendees to participate in at least 2 hours of Karma Yoga each day. Your team will hold the space for you to practice seva (selfless service), connecting with souls sharing the same goal.
¶
We will have a Karma Yoga ACTION time in the evening, to focus everybody in the service of what needs to be done.",
page-kundalini-yoga,Kundalini Yoga,"Known for its transformative benefits, the practice of Kundalini Yoga builds physical strength and stamina and enhances cognitive function, emotional fitness, and spiritual connection. Many people describe the experience as exhilarating, euphoric, and powerful.
¶
In this practice, the primary focus is on the movement and transformation of energy. There is no one practice or series. Instead, the practice focuses on kriyas — each a specific sequence of yogic techniques and meditations to create a specific result in consciousness. This could be something very concrete (like better digestion) or something more etheric (like an open heart).
Kriya Techniques
Each kriya comes with precise instructions and usually includes:
— Asana: body postures
— Mudras: hand positions
— Pranayama: breathwork
— Mantras: intentional, repeated sounds
— Bandhas: constriction of particular area of the body
— Drishti: directing the gaze of the eyes
— Shivasana: relaxation at the end of practice
Key Effects
Kundalini Yoga is known to assist change and self-limiting habits:
∙ A transformational system designed to release blocks to the reservoirs of untapped energy within us
∙ Balances the glandular system and revitalizes the nervous systems
∙ Builds, clears, and balances the subtle systems of the nadis (energy channels) and the chakras
∙ Includes hydrotherapy and breathing practices for optimal health and functioning
¶
When energy moves freely through the chakras, it stimulates the mental, physical, and spiritual health of the being. There is a clarity that arises that combines perception, thought, and intuition.",
page-sikh-dharma,Sikh Dharma,"What is Sikh Dharma?
The spiritual practice of Sikh Dharma is a path of transformation of body, mind and spirit. Founded at the start of the 16th century by the first Sikh saint, Guru Nanak, the practice of Sikh Dharma is grounded in the Oneness of all things and all people. Dharma is a life based on practices and beliefs to elevate consciousness, with an aim to avoid dogma, judgment and rigidity. You do not need to become a Sikh to enjoy the benefits of the values and virtues of Sikh Dharma. Following the Sikh Dharma way of life, which includes daily meditation, chanting the sacred mantras and scriptures, earning an honest living, sharing with others, and living a conscious and healthy lifestyle, you can live your Divinity on the Earth.",
page-solstice-diet,"The Solstice Diet, Food of the Yogis","Breakfast
The Solstice Soup is a spicy or mild potato, celery, and onion soup, with bananas and oranges served on the side. We also offer oatmeal for children and pregnant or nursing women. Both the Soup and Golden Milk given after tantric days are excellent ways to ingest turmeric, which helps alleviate aches and pains from the long days of yoga and meditation. It kindles agni (digestive fire), purifies the blood and liver, soothes the respiratory system, clarifies the skin, and is a strong antimicrobial.
Lunch
Lunch consists of one assortment of healthy food that will nourish your soul on non-tantric days, and Tantric Burgers on tantric days.
Dinner
Mung beans and rice served with carrots, beets, and hot sauce, an iceberg lettuce wedge and/or salad. This is one of the most revered meals in the Ayurvedic and Yogic traditions because of its ability to detoxify the body and kindle digestive fire. A diet of mung beans and rice provides a perfect balance of protein and complex carbohydrates that allows your body to detoxify while still feeling nourished and strong, and is easy to digest. Within just a couple of days on this diet the body becomes light, the stomach satisfied, and the mind crystal clear.
Solstice Hot Sauce
A spicy, tangy accompaniment made with lots of onions, red chiles, oil, vinegar, turmeric, and tamarind.
Yogi Tea
A healthy, delicious, soothing and energizing tea. A blend of cloves to benefit the nervous system, cardamom pods to aid digestion, black pepper to purify the blood, cinnamon to strengthen the bones and ginger root to energize overall. The recipe includes a small amount of black tea to create just the right balance.
Golden Milk
Especially beneficial for stiff joints and provides a source of lubrication for the entire system. Includes milk, turmeric, almond oil, and honey.",
